timestamp;tag;duration;package_0;core_0;uncore_0
1653932353.9650915;main;436.1178364753723;6987022976.0;5696636263.0;42970694.0
1653932353.9585598;main;436.1269836425781;6987157644.0;5696747738.0;42970694.0
1653932793.217437;main;444.91863656044006;7094722576.0;5768425214.0;45508313.0
1653932793.216537;main;444.920982837677;7094752299.0;5768460795.0;45508313.0
1653933241.2247794;main;443.02176213264465;7027827507.0;5732712110.0;42344963.0
1653933241.2111797;main;443.03581070899963;7028036908.0;5732863988.0;42344963.0
1653933687.5342648;main;434.34322810173035;6935108577.0;5661448797.0;41681102.0
1653933687.5374043;main;434.34317350387573;6935100201.0;5661452719.0;41681102.0
1653934124.9783847;main;433.12078499794006;6907636258.0;-59890420456.0;40560372.0
1653934124.9783893;main;433.1208653450012;6907636258.0;-59890420456.0;40560372.0
